name,datetime,level,guesses,mistakes,completed,time,streak
Joueur_54,2026-01-16 12:10,7,18,10,true,410,7
Joueur_55,2026-01-13 11:22,14,36,20,true,985,14
Joueur_56,2026-01-14 13:55,3,7,3,true,165,3
Joueur_57,2026-01-12 08:40,10,25,10,true,745,10
Joueur_58,2026-01-15 11:15,6,15,12,true,415,6
Joueur_59,2026-01-16 17:35,15,38,22,true,1100,15
Joueur_60,2026-01-13 15:05,2,5,2,true,145,2
Joueur_61,2026-01-14 20:45,11,28,25,true,760,11
Joueur_62,2026-01-12 14:55,5,10,5,true,385,5
Joueur_63,2026-01-15 15:20,13,32,18,true,870,13
Joueur_64,2026-01-16 06:10,8,20,8,true,525,8
Joueur_65,2026-01-13 22:30,16,40,30,true,1225,16
Joueur_66,2026-01-14 09:12,1,2,1,true,50,1
Joueur_67,2026-01-12 18:25,9,22,9,true,640,9
Joueur_68,2026-01-15 07:55,4,10,6,true,290,4
Joueur_69,2026-01-16 11:40,12,30,20,true,855,12
Joueur_70,2026-01-13 12:50,7,18,12,true,405,7
Joueur_71,2026-01-14 14:15,14,32,14,true,970,14
Joueur_72,2026-01-12 10:10,3,8,3,true,170,3
Joueur_73,2026-01-15 21:45,10,25,22,true,750,10
Joueur_74,2026-01-16 14:20,6,15,10,true,400,6
Joueur_75,2026-01-13 18:35,15,35,15,true,1105,15
Joueur_76,2026-01-14 11:55,2,5,4,true,155,2
Joueur_77,2026-01-12 15:25,11,22,18,true,755,11
Joueur_78,2026-01-15 13:10,5,12,5,true,395,5
Joueur_79,2026-01-16 09:15,13,32,25,true,880,13
Joueur_80,2026-01-13 07:45,8,18,12,true,520,8
Joueur_81,2026-01-14 16:20,16,40,16,true,1215,16
Joueur_82,2026-01-12 12:40,1,3,2,true,160,1
Joueur_83,2026-01-15 18:05,9,20,18,true,645,9
Joueur_84,2026-01-16 10:55,4,10,8,true,280,4
Joueur_85,2026-01-13 21:10,12,32,12,true,865,12
Joueur_86,2026-01-14 08:30,7,15,7,true,395,7
Joueur_87,2026-01-12 19:15,14,35,22,true,990,14
Joueur_88,2026-01-15 12:20,3,8,6,true,175,3
Joueur_89,2026-01-16 15:45,10,22,12,true,740,10
Joueur_90,2026-01-13 14:25,6,15,6,true,410,6
Joueur_91,2026-01-14 19:10,15,38,28,true,1115,15
Joueur_92,2026-01-12 11:35,2,4,2,true,150,2
Joueur_93,2026-01-15 10:50,11,25,20,true,750,11
Joueur_94,2026-01-16 13:15,5,12,5,true,390,5
Joueur_95,2026-01-13 16:40,13,30,25,true,875,13
Joueur_96,2026-01-14 22:55,8,22,14,true,525,8
Joueur_97,2026-01-12 17:12,16,42,16,true,1220,16
Joueur_98,2026-01-15 08:45,1,2,1,true,145,1
Joueur_99,2026-01-16 11:25,9,20,15,true,635,9
Joueur_100,2026-01-13 20:10,4,11,8,true,285,4
zz,2026-01-16 13:10,2,5,3,False,2,1
ezez,2026-01-16 13:13,1,3,3,False,12,0
